"s"	"Torque"
1.13320800	30.095018
1.13420400	30.042479
1.13520000	30.026061
1.13619600	30.045763
1.13719200	30.003076
1.13818800	30.009643
1.13918400	29.963672
1.14018000	29.930835
1.14117600	29.907850
1.14217200	29.838893
1.14316800	29.835610
1.14416400	29.829042
1.14516000	29.776504
1.14615600	29.740384
1.14715200	29.677995
1.14814800	29.641875
1.14914400	29.556500
1.15014000	29.536798
1.15113600	29.471125
1.15213200	29.425154
1.15312800	29.382467
1.15412400	29.346346
1.15512000	29.283957
1.15611600	29.218284
1.15711200	29.172313
1.15810800	29.103357
1.15910400	29.004847
1.16010000	28.952309
1.16109600	28.837381
1.16209200	28.788127
1.16308800	28.722454
1.16408400	28.656781
1.16508000	28.591108
1.16607600	28.522151
1.16707200	28.453195
1.16806800	28.433493
1.16906400	28.351402
1.17006000	28.334984
1.17105600	28.269311
1.17205200	28.246325
1.17304800	28.239758
1.17404400	28.223340
1.17504000	28.154383
1.17603600	28.154383
1.17703200	28.091994
1.17802800	28.091994
1.17902400	28.042739
1.18002000	28.023037
1.18101600	27.996768
1.18201200	28.006619
1.18300800	27.986917
1.18400400	27.963932
1.18500000	27.927812
1.18599600	27.911393
1.18699200	27.881841
1.18798800	27.875273
1.18898400	27.868706
1.18998000	27.845720
1.19097600	27.862139
1.19197200	27.835870
1.19296800	27.780048
1.19396400	27.793182
1.19496000	27.766913
1.19595600	27.757062
